,backbone_model,is_train_clf,ice_clf,reducer,ICE no concepts,ice count,test_acc_mean,test_acc_std,test_acc,ice_acc_mean,ice_acc_std,ice_acc,woe_acc_mean,woe_acc_std,woe_acc,test_sensitivity_mean,test_sensitivity_std,test_sensitivity,ice_sensitivity_mean,ice_sensitivity_std,ice_sensitivity,woe_sensitivity_mean,woe_sensitivity_std,woe_sensitivity,test_precision_mean,test_precision_std,test_precision,ice_precision_mean,ice_precision_std,ice_precision,woe_precision_mean,woe_precision_std,woe_precision,test_f1_score_mean,test_f1_score_std,test_f1_score,ice_f1_score_mean,ice_f1_score_std,ice_f1_score,woe_f1_score_mean,woe_f1_score_std,woe_f1_score
0,resnet50,False,Not-Applicable,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,49.71,4.88,$49.71 \pm 4.88$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,80.83,22.55,$80.83 \pm 22.55$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,62.63,14.15,$62.63 \pm 14.15$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,66.43,6.79,$66.43 \pm 6.79$,73.19,5.2,$73.19 \pm 5.2$
1,resnet50,True,ridge,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,59.36,3.84,$59.36 \pm 3.84$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,75.08,19.49,$75.08 \pm 19.49$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,71.06,12.94,$71.06 \pm 12.94$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,69.83,7.98,$69.83 \pm 7.98$,73.19,5.2,$73.19 \pm 5.2$
2,resnet50,True,gnb,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,64.54,6.06,$64.54 \pm 6.06$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,72.58,10.05,$72.58 \pm 10.05$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,75.03,8.64,$75.03 \pm 8.64$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,73.05,5.32,$73.05 \pm 5.32$,73.19,5.2,$73.19 \pm 5.2$
3,resnet50,True,logistic,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,63.04,4.27,$63.04 \pm 4.27$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,75.42,16.5,$75.42 \pm 16.5$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,71.77,11.12,$71.77 \pm 11.12$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,71.51,6.91,$71.51 \pm 6.91$,73.19,5.2,$73.19 \pm 5.2$
4,resnet50,False,Not-Applicable,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,60.29,5.57,$60.29 \pm 5.57$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,81.92,15.14,$81.92 \pm 15.14$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,66.24,10.58,$66.24 \pm 10.58$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,71.55,4.99,$71.55 \pm 4.99$,75.42,4.32,$75.42 \pm 4.32$
5,resnet50,True,ridge,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,68.61,3.97,$68.61 \pm 3.97$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,78.42,12.58,$78.42 \pm 12.58$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,75.58,8.67,$75.58 \pm 8.67$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,75.73,3.32,$75.73 \pm 3.32$,75.42,4.32,$75.42 \pm 4.32$
6,resnet50,True,gnb,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,70.39,5.11,$70.39 \pm 5.11$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,71.42,8.77,$71.42 \pm 8.77$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,80.87,6.02,$80.87 \pm 6.02$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,75.38,4.33,$75.38 \pm 4.33$,75.42,4.32,$75.42 \pm 4.32$
7,resnet50,True,logistic,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,71.25,3.88,$71.25 \pm 3.88$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,79.08,9.23,$79.08 \pm 9.23$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,77.64,7.06,$77.64 \pm 7.06$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,77.65,2.71,$77.65 \pm 2.71$,75.42,4.32,$75.42 \pm 4.32$
8,resnet50,False,Not-Applicable,PCA,5,20,79.54,5.45,$79.54 \pm 5.45$,65.32,4.7,$65.32 \pm 4.7$,72.64,5.45,$72.64 \pm 5.45$,85.33,6.2,$85.33 \pm 6.2$,82.17,11.98,$82.17 \pm 11.98$,75.75,7.84,$75.75 \pm 7.84$,83.08,5.98,$83.08 \pm 5.98$,70.05,9.66,$70.05 \pm 9.66$,80.27,5.28,$80.27 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,74.37,3.73,$74.37 \pm 3.73$,77.58,3.99,$77.58 \pm 3.99$
9,resnet50,True,ridge,PCA,5,20,79.54,5.45,$79.54 \pm 5.45$,70.75,4.24,$70.75 \pm 4.24$,72.64,5.45,$72.64 \pm 5.45$,85.33,6.2,$85.33 \pm 6.2$,81.33,11.93,$81.33 \pm 11.93$,75.75,7.84,$75.75 \pm 7.84$,83.08,5.98,$83.08 \pm 5.98$,77.24,7.17,$77.24 \pm 7.17$,80.27,5.28,$80.27 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,78.31,4.41,$78.31 \pm 4.41$,77.58,3.99,$77.58 \pm 3.99$
10,resnet50,True,gnb,PCA,5,20,79.54,5.45,$79.54 \pm 5.45$,72.68,5.37,$72.68 \pm 5.37$,72.64,5.45,$72.64 \pm 5.45$,85.33,6.2,$85.33 \pm 6.2$,75.83,7.88,$75.83 \pm 7.88$,75.75,7.84,$75.75 \pm 7.84$,83.08,5.98,$83.08 \pm 5.98$,80.29,5.22,$80.29 \pm 5.22$,80.27,5.28,$80.27 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,77.63,3.93,$77.63 \pm 3.93$,77.58,3.99,$77.58 \pm 3.99$
11,resnet50,True,logistic,PCA,5,20,79.54,5.45,$79.54 \pm 5.45$,74.68,5.21,$74.68 \pm 5.21$,72.64,5.45,$72.64 \pm 5.45$,85.33,6.2,$85.33 \pm 6.2$,82.42,6.36,$82.42 \pm 6.36$,75.75,7.84,$75.75 \pm 7.84$,83.08,5.98,$83.08 \pm 5.98$,78.71,3.8,$78.71 \pm 3.8$,80.27,5.28,$80.27 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,80.37,3.78,$80.37 \pm 3.78$,77.58,3.99,$77.58 \pm 3.99$
12,resnet50,False,Not-Applicable,NMF,6,20,79.54,5.45,$79.54 \pm 5.45$,68.21,5.28,$68.21 \pm 5.28$,74.61,5.07,$74.61 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,87.67,12.95,$87.67 \pm 12.95$,80.92,8.71,$80.92 \pm 8.71$,83.08,5.98,$83.08 \pm 5.98$,70.83,9.44,$70.83 \pm 9.44$,80.27,5.75,$80.27 \pm 5.75$,84.04,5.01,$84.04 \pm 5.01$,77.13,5.83,$77.13 \pm 5.83$,80.21,4.79,$80.21 \pm 4.79$
13,resnet50,True,ridge,NMF,6,20,79.54,5.45,$79.54 \pm 5.45$,74.07,4.21,$74.07 \pm 4.21$,74.61,5.07,$74.61 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,86.25,11.42,$86.25 \pm 11.42$,80.92,8.71,$80.92 \pm 8.71$,83.08,5.98,$83.08 \pm 5.98$,78.01,5.96,$78.01 \pm 5.96$,80.27,5.75,$80.27 \pm 5.75$,84.04,5.01,$84.04 \pm 5.01$,81.19,4.62,$81.19 \pm 4.62$,80.21,4.79,$80.21 \pm 4.79$
14,resnet50,True,gnb,NMF,6,20,79.54,5.45,$79.54 \pm 5.45$,74.64,5.1,$74.64 \pm 5.1$,74.61,5.07,$74.61 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,80.92,8.71,$80.92 \pm 8.71$,80.92,8.71,$80.92 \pm 8.71$,83.08,5.98,$83.08 \pm 5.98$,80.37,5.92,$80.37 \pm 5.92$,80.27,5.75,$80.27 \pm 5.75$,84.04,5.01,$84.04 \pm 5.01$,80.25,4.79,$80.25 \pm 4.79$,80.21,4.79,$80.21 \pm 4.79$
15,resnet50,True,logistic,NMF,6,20,79.54,5.45,$79.54 \pm 5.45$,75.61,3.88,$75.61 \pm 3.88$,74.61,5.07,$74.61 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,84.42,10.7,$84.42 \pm 10.7$,80.92,8.71,$80.92 \pm 8.71$,83.08,5.98,$83.08 \pm 5.98$,79.53,4.54,$79.53 \pm 4.54$,80.27,5.75,$80.27 \pm 5.75$,84.04,5.01,$84.04 \pm 5.01$,81.36,4.88,$81.36 \pm 4.88$,80.21,4.79,$80.21 \pm 4.79$
16,resnet50,False,Not-Applicable,NMF,7,20,79.54,5.45,$79.54 \pm 5.45$,71.68,5.45,$71.68 \pm 5.45$,75.46,4.77,$75.46 \pm 4.77$,85.33,6.2,$85.33 \pm 6.2$,87.5,10.04,$87.5 \pm 10.04$,82.0,6.81,$82.0 \pm 6.81$,83.08,5.98,$83.08 \pm 5.98$,73.34,8.69,$73.34 \pm 8.69$,80.13,5.44,$80.13 \pm 5.44$,84.04,5.01,$84.04 \pm 5.01$,78.99,4.91,$78.99 \pm 4.91$,80.85,4.55,$80.85 \pm 4.55$
17,resnet50,True,ridge,NMF,7,20,79.54,5.45,$79.54 \pm 5.45$,76.5,3.87,$76.5 \pm 3.87$,75.46,4.77,$75.46 \pm 4.77$,85.33,6.2,$85.33 \pm 6.2$,85.42,9.63,$85.42 \pm 9.63$,82.0,6.81,$82.0 \pm 6.81$,83.08,5.98,$83.08 \pm 5.98$,80.05,6.19,$80.05 \pm 6.19$,80.13,5.44,$80.13 \pm 5.44$,84.04,5.01,$84.04 \pm 5.01$,82.08,4.56,$82.08 \pm 4.56$,80.85,4.55,$80.85 \pm 4.55$
18,resnet50,True,gnb,NMF,7,20,79.54,5.45,$79.54 \pm 5.45$,75.46,4.77,$75.46 \pm 4.77$,75.46,4.77,$75.46 \pm 4.77$,85.33,6.2,$85.33 \pm 6.2$,82.0,6.81,$82.0 \pm 6.81$,82.0,6.81,$82.0 \pm 6.81$,83.08,5.98,$83.08 \pm 5.98$,80.13,5.44,$80.13 \pm 5.44$,80.13,5.44,$80.13 \pm 5.44$,84.04,5.01,$84.04 \pm 5.01$,80.85,4.55,$80.85 \pm 4.55$,80.85,4.55,$80.85 \pm 4.55$
19,resnet50,True,logistic,NMF,7,20,79.54,5.45,$79.54 \pm 5.45$,77.21,3.54,$77.21 \pm 3.54$,75.46,4.77,$75.46 \pm 4.77$,85.33,6.2,$85.33 \pm 6.2$,84.33,7.82,$84.33 \pm 7.82$,82.0,6.81,$82.0 \pm 6.81$,83.08,5.98,$83.08 \pm 5.98$,81.05,4.66,$81.05 \pm 4.66$,80.13,5.44,$80.13 \pm 5.44$,84.04,5.01,$84.04 \pm 5.01$,82.37,4.28,$82.37 \pm 4.28$,80.85,4.55,$80.85 \pm 4.55$
20,resnet50,False,Not-Applicable,NMF,8,20,79.54,5.45,$79.54 \pm 5.45$,75.82,6.14,$75.82 \pm 6.14$,76.93,4.85,$76.93 \pm 4.85$,85.33,6.2,$85.33 \pm 6.2$,87.75,6.1,$87.75 \pm 6.1$,85.25,6.24,$85.25 \pm 6.24$,83.08,5.98,$83.08 \pm 5.98$,78.16,7.85,$78.16 \pm 7.85$,80.17,4.64,$80.17 \pm 4.64$,84.04,5.01,$84.04 \pm 5.01$,82.29,4.53,$82.29 \pm 4.53$,82.53,4.61,$82.53 \pm 4.61$
21,resnet50,True,ridge,NMF,8,20,79.54,5.45,$79.54 \pm 5.45$,78.25,4.72,$78.25 \pm 4.72$,76.93,4.85,$76.93 \pm 4.85$,85.33,6.2,$85.33 \pm 6.2$,87.58,5.91,$87.58 \pm 5.91$,85.25,6.24,$85.25 \pm 6.24$,83.08,5.98,$83.08 \pm 5.98$,80.25,5.17,$80.25 \pm 5.17$,80.17,4.64,$80.17 \pm 4.64$,84.04,5.01,$84.04 \pm 5.01$,83.67,4.82,$83.67 \pm 4.82$,82.53,4.61,$82.53 \pm 4.61$
22,resnet50,True,gnb,NMF,8,20,79.54,5.45,$79.54 \pm 5.45$,76.93,4.85,$76.93 \pm 4.85$,76.93,4.85,$76.93 \pm 4.85$,85.33,6.2,$85.33 \pm 6.2$,85.25,6.24,$85.25 \pm 6.24$,85.25,6.24,$85.25 \pm 6.24$,83.08,5.98,$83.08 \pm 5.98$,80.11,4.66,$80.11 \pm 4.66$,80.17,4.64,$80.17 \pm 4.64$,84.04,5.01,$84.04 \pm 5.01$,82.5,4.6,$82.5 \pm 4.6$,82.53,4.61,$82.53 \pm 4.61$
23,resnet50,True,logistic,NMF,8,20,79.54,5.45,$79.54 \pm 5.45$,78.43,4.04,$78.43 \pm 4.04$,76.93,4.85,$76.93 \pm 4.85$,85.33,6.2,$85.33 \pm 6.2$,86.83,5.35,$86.83 \pm 5.35$,85.25,6.24,$85.25 \pm 6.24$,83.08,5.98,$83.08 \pm 5.98$,80.84,4.95,$80.84 \pm 4.95$,80.17,4.64,$80.17 \pm 4.64$,84.04,5.01,$84.04 \pm 5.01$,83.66,4.54,$83.66 \pm 4.54$,82.53,4.61,$82.53 \pm 4.61$
24,resnet50,False,Not-Applicable,NMF,9,20,79.54,5.45,$79.54 \pm 5.45$,77.11,5.31,$77.11 \pm 5.31$,77.18,3.82,$77.18 \pm 3.82$,85.33,6.2,$85.33 \pm 6.2$,86.58,5.63,$86.58 \pm 5.63$,85.25,5.22,$85.25 \pm 5.22$,83.08,5.98,$83.08 \pm 5.98$,80.54,7.16,$80.54 \pm 7.16$,80.42,3.96,$80.42 \pm 3.96$,84.04,5.01,$84.04 \pm 5.01$,83.16,4.44,$83.16 \pm 4.44$,82.68,3.69,$82.68 \pm 3.69$
25,resnet50,True,ridge,NMF,9,20,79.54,5.45,$79.54 \pm 5.45$,78.75,4.11,$78.75 \pm 4.11$,77.18,3.82,$77.18 \pm 3.82$,85.33,6.2,$85.33 \pm 6.2$,86.0,5.53,$86.0 \pm 5.53$,85.25,5.22,$85.25 \pm 5.22$,83.08,5.98,$83.08 \pm 5.98$,81.29,5.11,$81.29 \pm 5.11$,80.42,3.96,$80.42 \pm 3.96$,84.04,5.01,$84.04 \pm 5.01$,83.49,4.57,$83.49 \pm 4.57$,82.68,3.69,$82.68 \pm 3.69$
26,resnet50,True,gnb,NMF,9,20,79.54,5.45,$79.54 \pm 5.45$,77.18,3.82,$77.18 \pm 3.82$,77.18,3.82,$77.18 \pm 3.82$,85.33,6.2,$85.33 \pm 6.2$,85.25,5.22,$85.25 \pm 5.22$,85.25,5.22,$85.25 \pm 5.22$,83.08,5.98,$83.08 \pm 5.98$,80.42,3.96,$80.42 \pm 3.96$,80.42,3.96,$80.42 \pm 3.96$,84.04,5.01,$84.04 \pm 5.01$,82.68,3.69,$82.68 \pm 3.69$,82.68,3.69,$82.68 \pm 3.69$
27,resnet50,True,logistic,NMF,9,20,79.54,5.45,$79.54 \pm 5.45$,78.32,4.34,$78.32 \pm 4.34$,77.18,3.82,$77.18 \pm 3.82$,85.33,6.2,$85.33 \pm 6.2$,85.17,5.9,$85.17 \pm 5.9$,85.25,5.22,$85.25 \pm 5.22$,83.08,5.98,$83.08 \pm 5.98$,81.43,5.16,$81.43 \pm 5.16$,80.42,3.96,$80.42 \pm 3.96$,84.04,5.01,$84.04 \pm 5.01$,83.17,4.77,$83.17 \pm 4.77$,82.68,3.69,$82.68 \pm 3.69$
28,resnet50,False,Not-Applicable,NMF,10,20,79.54,5.45,$79.54 \pm 5.45$,77.89,4.92,$77.89 \pm 4.92$,77.57,4.21,$77.57 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,87.92,4.11,$87.92 \pm 4.11$,86.0,5.08,$86.0 \pm 5.08$,83.08,5.98,$83.08 \pm 5.98$,80.49,5.46,$80.49 \pm 5.46$,80.87,3.34,$80.87 \pm 3.34$,84.04,5.01,$84.04 \pm 5.01$,83.93,3.91,$83.93 \pm 3.91$,83.29,3.5,$83.29 \pm 3.5$
29,resnet50,True,ridge,NMF,10,20,79.54,5.45,$79.54 \pm 5.45$,78.68,4.37,$78.68 \pm 4.37$,77.57,4.21,$77.57 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,86.08,4.9,$86.08 \pm 4.9$,86.0,5.08,$86.0 \pm 5.08$,83.08,5.98,$83.08 \pm 5.98$,81.44,4.61,$81.44 \pm 4.61$,80.87,3.34,$80.87 \pm 3.34$,84.04,5.01,$84.04 \pm 5.01$,83.64,4.26,$83.64 \pm 4.26$,83.29,3.5,$83.29 \pm 3.5$
30,resnet50,True,gnb,NMF,10,20,79.54,5.45,$79.54 \pm 5.45$,77.57,4.21,$77.57 \pm 4.21$,77.57,4.21,$77.57 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,86.0,5.08,$86.0 \pm 5.08$,86.0,5.08,$86.0 \pm 5.08$,83.08,5.98,$83.08 \pm 5.98$,80.93,3.33,$80.93 \pm 3.33$,80.87,3.34,$80.87 \pm 3.34$,84.04,5.01,$84.04 \pm 5.01$,83.32,3.48,$83.32 \pm 3.48$,83.29,3.5,$83.29 \pm 3.5$
31,resnet50,True,logistic,NMF,10,20,79.54,5.45,$79.54 \pm 5.45$,78.32,4.22,$78.32 \pm 4.22$,77.57,4.21,$77.57 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,85.42,5.74,$85.42 \pm 5.74$,86.0,5.08,$86.0 \pm 5.08$,83.08,5.98,$83.08 \pm 5.98$,81.28,4.64,$81.28 \pm 4.64$,80.87,3.34,$80.87 \pm 3.34$,84.04,5.01,$84.04 \pm 5.01$,83.24,4.7,$83.24 \pm 4.7$,83.29,3.5,$83.29 \pm 3.5$
32,resnet50,False,Not-Applicable,PCA,10,20,79.54,5.45,$79.54 \pm 5.45$,78.96,4.18,$78.96 \pm 4.18$,77.93,4.37,$77.93 \pm 4.37$,85.33,6.2,$85.33 \pm 6.2$,86.33,4.54,$86.33 \pm 4.54$,84.67,5.06,$84.67 \pm 5.06$,83.08,5.98,$83.08 \pm 5.98$,81.86,4.73,$81.86 \pm 4.73$,81.73,5.28,$81.73 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,83.97,4.03,$83.97 \pm 4.03$,83.09,4.5,$83.09 \pm 4.5$
33,resnet50,True,ridge,PCA,10,20,79.54,5.45,$79.54 \pm 5.45$,78.79,4.46,$78.79 \pm 4.46$,77.93,4.37,$77.93 \pm 4.37$,85.33,6.2,$85.33 \pm 6.2$,86.0,4.85,$86.0 \pm 4.85$,84.67,5.06,$84.67 \pm 5.06$,83.08,5.98,$83.08 \pm 5.98$,82.02,4.98,$82.02 \pm 4.98$,81.73,5.28,$81.73 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,83.92,4.44,$83.92 \pm 4.44$,83.09,4.5,$83.09 \pm 4.5$
34,resnet50,True,gnb,PCA,10,20,79.54,5.45,$79.54 \pm 5.45$,77.93,4.37,$77.93 \pm 4.37$,77.93,4.37,$77.93 \pm 4.37$,85.33,6.2,$85.33 \pm 6.2$,84.67,5.06,$84.67 \pm 5.06$,84.67,5.06,$84.67 \pm 5.06$,83.08,5.98,$83.08 \pm 5.98$,81.73,5.28,$81.73 \pm 5.28$,81.73,5.28,$81.73 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,83.09,4.5,$83.09 \pm 4.5$,83.09,4.5,$83.09 \pm 4.5$
35,resnet50,True,logistic,PCA,10,20,79.54,5.45,$79.54 \pm 5.45$,79.36,4.0,$79.36 \pm 4.0$,77.93,4.37,$77.93 \pm 4.37$,85.33,6.2,$85.33 \pm 6.2$,84.5,4.84,$84.5 \pm 4.84$,84.67,5.06,$84.67 \pm 5.06$,83.08,5.98,$83.08 \pm 5.98$,83.31,4.83,$83.31 \pm 4.83$,81.73,5.28,$81.73 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,83.84,4.26,$83.84 \pm 4.26$,83.09,4.5,$83.09 \pm 4.5$
36,resnet50,False,Not-Applicable,NMF,11,20,79.54,5.45,$79.54 \pm 5.45$,77.54,5.35,$77.54 \pm 5.35$,78.11,4.21,$78.11 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,86.75,6.43,$86.75 \pm 6.43$,86.0,4.66,$86.0 \pm 4.66$,83.08,5.98,$83.08 \pm 5.98$,80.74,4.99,$80.74 \pm 4.99$,82.09,3.9,$82.09 \pm 3.9$,84.04,5.01,$84.04 \pm 5.01$,83.49,4.53,$83.49 \pm 4.53$,83.92,3.42,$83.92 \pm 3.42$
37,resnet50,True,ridge,NMF,11,20,79.54,5.45,$79.54 \pm 5.45$,78.71,4.64,$78.71 \pm 4.64$,78.11,4.21,$78.11 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,85.75,5.61,$85.75 \pm 5.61$,86.0,4.66,$86.0 \pm 4.66$,83.08,5.98,$83.08 \pm 5.98$,81.94,4.29,$81.94 \pm 4.29$,82.09,3.9,$82.09 \pm 3.9$,84.04,5.01,$84.04 \pm 5.01$,83.76,4.58,$83.76 \pm 4.58$,83.92,3.42,$83.92 \pm 3.42$
38,resnet50,True,gnb,NMF,11,20,79.54,5.45,$79.54 \pm 5.45$,78.07,4.21,$78.07 \pm 4.21$,78.11,4.21,$78.11 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,85.92,4.54,$85.92 \pm 4.54$,86.0,4.66,$86.0 \pm 4.66$,83.08,5.98,$83.08 \pm 5.98$,82.08,3.89,$82.08 \pm 3.89$,82.09,3.9,$82.09 \pm 3.9$,84.04,5.01,$84.04 \pm 5.01$,83.88,3.37,$83.88 \pm 3.37$,83.92,3.42,$83.92 \pm 3.42$
39,resnet50,True,logistic,NMF,11,20,79.54,5.45,$79.54 \pm 5.45$,78.68,4.17,$78.68 \pm 4.17$,78.11,4.21,$78.11 \pm 4.21$,85.33,6.2,$85.33 \pm 6.2$,85.75,5.5,$85.75 \pm 5.5$,86.0,4.66,$86.0 \pm 4.66$,83.08,5.98,$83.08 \pm 5.98$,81.85,4.04,$81.85 \pm 4.04$,82.09,3.9,$82.09 \pm 3.9$,84.04,5.01,$84.04 \pm 5.01$,83.73,4.52,$83.73 \pm 4.52$,83.92,3.42,$83.92 \pm 3.42$
40,resnet50,False,Not-Applicable,NMF,12,20,79.54,5.45,$79.54 \pm 5.45$,77.71,5.33,$77.71 \pm 5.33$,78.21,3.84,$78.21 \pm 3.84$,85.33,6.2,$85.33 \pm 6.2$,86.08,7.1,$86.08 \pm 7.1$,85.5,4.43,$85.5 \pm 4.43$,83.08,5.98,$83.08 \pm 5.98$,81.34,5.28,$81.34 \pm 5.28$,82.39,4.34,$82.39 \pm 4.34$,84.04,5.01,$84.04 \pm 5.01$,83.46,4.89,$83.46 \pm 4.89$,83.83,3.45,$83.83 \pm 3.45$
41,resnet50,True,ridge,NMF,12,20,79.54,5.45,$79.54 \pm 5.45$,78.86,4.81,$78.86 \pm 4.81$,78.21,3.84,$78.21 \pm 3.84$,85.33,6.2,$85.33 \pm 6.2$,85.5,6.4,$85.5 \pm 6.4$,85.5,4.43,$85.5 \pm 4.43$,83.08,5.98,$83.08 \pm 5.98$,81.94,4.76,$81.94 \pm 4.76$,82.39,4.34,$82.39 \pm 4.34$,84.04,5.01,$84.04 \pm 5.01$,83.64,5.25,$83.64 \pm 5.25$,83.83,3.45,$83.83 \pm 3.45$
42,resnet50,True,gnb,NMF,12,20,79.54,5.45,$79.54 \pm 5.45$,78.14,3.9,$78.14 \pm 3.9$,78.21,3.84,$78.21 \pm 3.84$,85.33,6.2,$85.33 \pm 6.2$,85.5,4.43,$85.5 \pm 4.43$,85.5,4.43,$85.5 \pm 4.43$,83.08,5.98,$83.08 \pm 5.98$,82.45,4.36,$82.45 \pm 4.36$,82.39,4.34,$82.39 \pm 4.34$,84.04,5.01,$84.04 \pm 5.01$,83.86,3.48,$83.86 \pm 3.48$,83.83,3.45,$83.83 \pm 3.45$
43,resnet50,True,logistic,NMF,12,20,79.54,5.45,$79.54 \pm 5.45$,78.89,4.45,$78.89 \pm 4.45$,78.21,3.84,$78.21 \pm 3.84$,85.33,6.2,$85.33 \pm 6.2$,85.5,5.65,$85.5 \pm 5.65$,85.5,4.43,$85.5 \pm 4.43$,83.08,5.98,$83.08 \pm 5.98$,81.82,4.45,$81.82 \pm 4.45$,82.39,4.34,$82.39 \pm 4.34$,84.04,5.01,$84.04 \pm 5.01$,83.59,4.8,$83.59 \pm 4.8$,83.83,3.45,$83.83 \pm 3.45$
44,resnet50,False,Not-Applicable,NMF,15,20,79.54,5.45,$79.54 \pm 5.45$,77.93,4.9,$77.93 \pm 4.9$,77.86,3.99,$77.86 \pm 3.99$,85.33,6.2,$85.33 \pm 6.2$,86.83,6.14,$86.83 \pm 6.14$,85.25,3.68,$85.25 \pm 3.68$,83.08,5.98,$83.08 \pm 5.98$,80.61,5.08,$80.61 \pm 5.08$,82.39,4.67,$82.39 \pm 4.67$,84.04,5.01,$84.04 \pm 5.01$,83.48,4.45,$83.48 \pm 4.45$,83.72,3.41,$83.72 \pm 3.41$
45,resnet50,True,ridge,NMF,15,20,79.54,5.45,$79.54 \pm 5.45$,79.32,4.64,$79.32 \pm 4.64$,77.86,3.99,$77.86 \pm 3.99$,85.33,6.2,$85.33 \pm 6.2$,86.25,5.4,$86.25 \pm 5.4$,85.25,3.68,$85.25 \pm 3.68$,83.08,5.98,$83.08 \pm 5.98$,82.39,4.99,$82.39 \pm 4.99$,82.39,4.67,$82.39 \pm 4.67$,84.04,5.01,$84.04 \pm 5.01$,84.25,4.93,$84.25 \pm 4.93$,83.72,3.41,$83.72 \pm 3.41$
46,resnet50,True,gnb,NMF,15,20,79.54,5.45,$79.54 \pm 5.45$,77.86,3.99,$77.86 \pm 3.99$,77.86,3.99,$77.86 \pm 3.99$,85.33,6.2,$85.33 \pm 6.2$,85.25,3.68,$85.25 \pm 3.68$,85.25,3.68,$85.25 \pm 3.68$,83.08,5.98,$83.08 \pm 5.98$,82.39,4.67,$82.39 \pm 4.67$,82.39,4.67,$82.39 \pm 4.67$,84.04,5.01,$84.04 \pm 5.01$,83.72,3.41,$83.72 \pm 3.41$,83.72,3.41,$83.72 \pm 3.41$
