timestamp,model,concept,seed,woe_acc,woe_binary_acc,woe_sensitivity,woe_specificity,woe_precision,woe_f1_score,woe_time_cost,feature_type,reducer,is_train_clf,ice_clf,woe_clf
2025-03-30 15:09:42.355618,resnet152,6,222,73.57142857142858,77.85714285714286,73.33333333333333,81.25,74.57627118644068,73.94957983193278,76.00547933578491,mean,NMF,False,NA,original
2025-03-30 15:10:29.787691,resnet152,8,100,85.0,90.71428571428571,91.66666666666666,90.0,87.3015873015873,89.4308943089431,91.50984907150269,mean,NMF,False,NA,original
2025-03-30 15:10:34.016999,resnet50,12,289,80.0,89.28571428571429,93.33333333333333,86.25,83.5820895522388,88.18897637795276,113.61976766586304,mean,NMF,False,NA,original
2025-03-30 15:12:33.427395,resnet50,20,3407,78.57142857142857,87.14285714285714,86.66666666666667,87.5,83.87096774193549,85.24590163934425,167.26059293746948,mean,NMF,False,NA,original
2025-03-30 15:15:26.508154,resnet152,4,377,60.71428571428571,73.57142857142858,56.666666666666664,86.25,75.55555555555556,64.76190476190476,67.82602000236511,mean,NMF,False,NA,original
2025-03-30 15:13:09.924301,resnet50,35,578,84.28571428571429,87.85714285714286,85.0,90.0,86.4406779661017,85.71428571428572,270.46147108078003,mean,NMF,False,NA,original
2025-03-30 15:17:19.737170,resnet152,7,222,75.71428571428571,81.42857142857143,80.0,82.5,77.41935483870968,78.68852459016394,87.31780338287354,mean,NMF,False,NA,original
2025-03-30 15:17:05.808678,resnet50,11,445,80.71428571428572,85.71428571428571,80.0,90.0,85.71428571428571,82.75862068965519,105.11439871788025,mean,NMF,False,NA,original
2025-03-30 15:17:01.668685,resnet152,11,149,64.28571428571429,77.85714285714286,80.0,76.25,71.64179104477611,75.59055118110236,110.81274890899658,mean,NMF,False,NA,original
2025-03-30 15:17:12.702632,resnet152,11,42,84.28571428571429,88.57142857142857,83.33333333333334,92.5,89.28571428571429,86.20689655172413,111.88422155380249,mean,NMF,False,NA,original
2025-03-30 15:17:22.355608,resnet152,20,498,78.57142857142857,85.71428571428571,83.33333333333334,87.5,83.33333333333334,83.33333333333334,172.08578419685364,mean,NMF,False,NA,original
2025-03-30 15:19:09.167427,resnet152,9,100,83.57142857142857,89.28571428571429,91.66666666666666,87.5,84.61538461538461,87.99999999999999,98.06615972518921,mean,NMF,False,NA,original
2025-03-30 15:20:21.946608,resnet152,4,289,67.85714285714286,77.85714285714286,66.66666666666666,86.25,78.43137254901961,72.07207207207207,69.34979009628296,mean,NMF,False,NA,original
2025-03-30 15:17:17.728466,resnet50,40,999,71.42857142857143,82.14285714285714,76.66666666666667,86.25,80.7017543859649,78.63247863247864,310.616672039032,mean,NMF,False,NA,original
2025-03-30 15:22:26.016844,resnet152,6,377,73.57142857142858,87.14285714285714,81.66666666666667,91.25,87.5,84.48275862068965,78.30504274368286,mean,NMF,False,NA,original
2025-03-30 15:20:33.967848,resnet50,40,789,80.71428571428572,85.71428571428571,88.33333333333333,83.75,80.3030303030303,84.12698412698413,306.3396461009979,mean,NMF,False,NA,original
2025-03-30 15:25:20.787565,resnet152,8,222,73.57142857142858,80.0,76.66666666666667,82.5,76.66666666666667,76.66666666666667,89.15878701210022,mean,NMF,False,NA,original
2025-03-30 15:25:28.966594,resnet50,12,445,80.71428571428572,85.0,78.33333333333333,90.0,85.45454545454545,81.73913043478261,111.02129602432251,mean,NMF,False,NA,original
2025-03-30 15:26:51.143161,resnet50,5,999,67.14285714285714,80.71428571428572,71.66666666666667,87.5,81.13207547169812,76.10619469026548,66.95023131370544,mean,PCA,False,NA,original
2025-03-30 15:25:31.924585,resnet50,25,3407,78.57142857142857,86.42857142857143,88.33333333333333,85.0,81.53846153846153,84.8,206.0724561214447,mean,NMF,False,NA,original
2025-03-30 15:27:08.207317,resnet152,12,42,84.28571428571429,89.28571428571429,85.0,92.5,89.47368421052632,87.17948717948718,117.55653071403503,mean,NMF,False,NA,original
2025-03-30 15:27:56.727955,resnet152,6,289,68.57142857142857,81.42857142857143,71.66666666666667,88.75,82.6923076923077,76.78571428571429,80.47976016998291,mean,NMF,False,NA,original
2025-03-30 15:27:31.583093,resnet152,12,149,67.14285714285714,81.42857142857143,83.33333333333334,80.0,75.75757575757575,79.36507936507938,116.91601800918579,mean,NMF,False,NA,original
2025-03-30 15:29:51.388222,resnet50,5,789,77.14285714285715,80.0,73.33333333333333,85.0,78.57142857142857,75.86206896551724,66.23593425750732,mean,PCA,False,NA,original
2025-03-30 15:29:05.868584,resnet152,11,100,82.85714285714286,89.28571428571429,93.33333333333333,86.25,83.5820895522388,88.18897637795276,113.18638062477112,mean,NMF,False,NA,original
2025-03-30 15:29:58.348382,resnet152,7,377,75.71428571428571,85.0,90.0,81.25,78.26086956521739,83.72093023255815,85.86071801185608,mean,NMF,False,NA,original
2025-03-30 15:32:42.097117,resnet152,4,445,59.285714285714285,68.57142857142857,90.0,52.5,58.69565217391305,71.05263157894737,66.7738025188446,mean,NMF,False,NA,original
2025-03-30 15:33:15.138626,resnet50,10,999,69.28571428571428,77.85714285714286,75.0,80.0,73.77049180327869,74.3801652892562,98.93090748786926,mean,PCA,False,NA,original
2025-03-30 15:33:49.643658,resnet152,9,222,74.28571428571429,80.71428571428572,78.33333333333333,82.5,77.04918032786885,77.68595041322314,96.1227560043335,mean,NMF,False,NA,original
2025-03-30 15:32:37.330745,resnet152,25,498,78.57142857142857,86.42857142857143,83.33333333333334,88.75,84.7457627118644,84.03361344537815,207.31425786018372,mean,NMF,False,NA,original
