timestamp,model,lr,concept_samples,seed,no_concepts,woe_acc,woe_acc_binary,woe_sensitivity,woe_specificity,woe_precision,woe_f1_score,woe_time_cost,feature_type,pcbm_classifier,woe_clf
2025-03-30 15:56:02.968170,resnet152,0.01,50,100,12,79.28571428571428,90.0,90.0,90.0,87.09677419354838,88.52459016393443,126.10393786430359,mean,ridge,original
2025-03-30 15:57:52.106967,resnext50,0.01,50,222,12,82.14285714285714,92.14285714285714,86.66666666666667,96.25,94.54545454545455,90.43478260869566,114.2390124797821,mean,ridge,original
2025-03-30 16:02:44.817970,resnet50,0.01,50,222,12,72.85714285714285,83.57142857142857,85.0,82.5,78.46153846153847,81.6,112.93786239624023,mean,ridge,original
2025-03-30 16:08:46.224900,resnet152,0.01,50,222,12,70.0,82.14285714285714,81.66666666666667,82.5,77.77777777777779,79.67479674796746,120.40646934509277,mean,ridge,original
2025-03-30 16:11:44.678994,resnext50,0.01,50,377,12,76.42857142857142,85.0,83.33333333333334,86.25,81.9672131147541,82.64462809917356,117.25428414344788,mean,ridge,original
2025-03-30 16:16:37.362633,resnet50,0.01,50,377,12,70.71428571428572,85.0,85.0,85.0,80.95238095238095,82.92682926829269,115.98218941688538,mean,ridge,original
2025-03-30 16:19:43.305458,resnext50,0.01,50,289,12,82.14285714285714,89.28571428571429,93.33333333333333,86.25,83.5820895522388,88.18897637795276,119.70811605453491,mean,ridge,original
2025-03-30 16:22:44.815616,resnet152,0.01,50,377,12,70.71428571428572,82.85714285714286,88.33333333333333,78.75,75.71428571428571,81.53846153846153,127.22302889823914,mean,ridge,original
2025-03-30 16:24:57.948206,resnet50,0.01,50,289,12,76.42857142857142,85.71428571428571,78.33333333333333,91.25,87.03703703703704,82.45614035087719,118.04109501838684,mean,ridge,original
2025-03-30 16:29:43.538759,resnext50,0.01,50,445,12,80.0,88.57142857142857,88.33333333333333,88.75,85.48387096774194,86.88524590163934,132.8796627521515,mean,ridge,original
2025-03-30 16:31:22.144695,resnet152,0.01,50,289,12,73.57142857142858,88.57142857142857,85.0,91.25,87.93103448275862,86.4406779661017,128.28828382492065,mean,ridge,original
2025-03-30 16:34:47.639968,resnet50,0.01,50,445,12,77.85714285714286,85.0,81.66666666666667,87.5,83.05084745762711,82.35294117647058,113.35358190536499,mean,ridge,original
2025-03-30 16:40:45.288361,resnet152,0.01,50,445,12,73.57142857142858,83.57142857142857,78.33333333333333,87.5,82.45614035087719,80.34188034188034,122.49484968185425,mean,ridge,original
2025-03-30 21:01:44.459170,resnext50,0.01,50,498,12,79.28571428571428,87.85714285714286,85.0,90.0,86.4406779661017,85.71428571428572,114.93252396583557,mean,ridge,original
2025-03-30 21:06:29.704413,resnet50,0.01,50,498,12,79.28571428571428,88.57142857142857,81.66666666666667,93.75,90.74074074074075,85.96491228070175,114.3735921382904,mean,ridge,original
2025-03-30 21:12:27.451332,resnet152,0.01,50,498,12,74.28571428571429,84.28571428571429,88.33333333333333,81.25,77.94117647058823,82.81250000000001,122.8324933052063,mean,ridge,original
2025-03-30 23:06:14.073247,resnext50,0.01,50,789,12,77.85714285714286,84.28571428571429,86.66666666666667,82.5,78.78787878787878,82.53968253968253,114.2838830947876,mean,ridge,original
2025-03-30 23:10:37.872750,resnext50,0.01,50,999,12,77.14285714285715,81.42857142857143,80.0,82.5,77.41935483870968,78.68852459016394,115.75655889511108,mean,ridge,original
2025-03-30 23:10:57.371768,resnet50,0.01,50,789,12,78.57142857142857,87.14285714285714,85.0,88.75,85.0,85.0,113.44700765609741,mean,ridge,original
2025-03-30 23:15:29.453310,resnet50,0.01,50,999,12,67.85714285714286,82.85714285714286,81.66666666666667,83.75,79.03225806451613,80.32786885245902,114.78262829780579,mean,ridge,original
2025-03-30 23:16:53.088861,resnet152,0.01,50,789,12,76.42857142857142,85.0,81.66666666666667,87.5,83.05084745762711,82.35294117647058,120.97013783454895,mean,ridge,original
2025-03-30 23:21:33.961510,resnet152,0.01,50,999,12,73.57142857142858,85.71428571428571,88.33333333333333,83.75,80.3030303030303,84.12698412698413,123.27954292297363,mean,ridge,original
2025-03-30 23:41:05.448615,resnext50,0.01,50,578,12,82.14285714285714,87.14285714285714,85.0,88.75,85.0,85.0,114.67401051521301,mean,ridge,original
2025-03-30 23:45:54.586094,resnet50,0.01,50,578,12,74.28571428571429,83.57142857142857,81.66666666666667,85.0,80.32786885245902,80.99173553719008,111.27795386314392,mean,ridge,original
2025-03-30 23:51:53.733142,resnet152,0.01,50,578,12,80.71428571428572,87.14285714285714,81.66666666666667,91.25,87.5,84.48275862068965,120.20914053916931,mean,ridge,original
2025-03-31 00:32:39.492549,resnext50,0.01,50,3407,12,76.42857142857142,85.71428571428571,85.0,86.25,82.25806451612904,83.60655737704919,117.69212436676025,mean,ridge,original
2025-03-31 00:37:43.991186,resnet50,0.01,50,3407,12,68.57142857142857,83.57142857142857,85.0,82.5,78.46153846153847,81.6,117.07189106941223,mean,ridge,original
2025-03-31 00:44:05.986120,resnet152,0.01,50,3407,12,67.14285714285714,85.71428571428571,83.33333333333334,87.5,83.33333333333334,83.33333333333334,125.46236062049866,mean,ridge,original
