timestamp,model,lr,concept_samples,seed,no_concepts,pcbm_acc,pcbm_acc_binary,pcbm_sensitivity,pcbm_specificity,pcbm_precision,pcbm_f1_score,pcbm_time_cost,feature_type,pcbm_classifier
2025-03-30 15:29:37.717873,resnext50,0.01,50,149,12,68.57142857142857,88.57142857142857,90.0,87.5,84.375,87.0967741935484,184.30635690689087,mean,ridge
2025-03-30 15:34:33.448324,resnet50,0.01,50,42,12,52.142857142857146,75.71428571428571,46.666666666666664,97.5,93.33333333333333,62.222222222222236,163.11656618118286,mean,ridge
2025-03-30 15:34:54.827420,resnet50,0.01,50,149,12,72.85714285714285,77.85714285714286,81.66666666666667,75.0,71.01449275362319,75.96899224806202,163.20782828330994,mean,ridge
2025-03-30 15:39:27.790371,resnet152,0.01,50,42,12,55.00000000000001,68.57142857142857,91.66666666666666,51.24999999999999,58.51063829787234,71.42857142857143,242.2044599056244,mean,ridge
2025-03-30 15:39:49.708798,resnet152,0.01,50,149,12,59.285714285714285,78.57142857142857,88.33333333333333,71.25,69.73684210526315,77.94117647058823,243.30235195159912,mean,ridge
2025-03-30 15:41:34.704945,resnext50,0.01,50,100,12,56.42857142857143,80.71428571428572,95.0,70.0,70.37037037037037,80.85106382978724,186.16292142868042,mean,ridge
2025-03-30 15:46:56.872832,resnet50,0.01,50,100,12,66.42857142857143,81.42857142857143,95.0,71.25,71.25,81.42857142857143,164.62535524368286,mean,ridge
2025-03-30 15:51:55.355463,resnet152,0.01,50,100,12,77.14285714285715,83.57142857142857,93.33333333333333,76.25,74.66666666666667,82.96296296296296,239.41233015060425,mean,ridge
2025-03-30 15:54:45.548389,resnext50,0.01,50,222,12,84.28571428571429,92.85714285714286,93.33333333333333,92.5,90.32258064516128,91.80327868852459,176.06807804107666,mean,ridge
2025-03-30 15:59:56.870127,resnet50,0.01,50,222,12,67.14285714285714,77.85714285714286,73.33333333333333,81.25,74.57627118644068,73.94957983193278,157.1376757621765,mean,ridge
2025-03-30 16:04:48.500507,resnet152,0.01,50,222,12,70.71428571428572,79.28571428571428,83.33333333333334,76.25,72.46376811594203,77.51937984496125,226.94964408874512,mean,ridge
2025-03-30 16:08:34.794173,resnext50,0.01,50,377,12,78.57142857142857,85.0,81.66666666666667,87.5,83.05084745762711,82.35294117647058,181.5817744731903,mean,ridge
2025-03-30 16:13:50.081827,resnet50,0.01,50,377,12,57.14285714285714,78.57142857142857,86.66666666666667,72.5,70.27027027027027,77.61194029850748,159.23616361618042,mean,ridge
2025-03-30 16:16:27.845438,resnext50,0.01,50,289,12,73.57142857142858,80.71428571428572,96.66666666666667,68.75,69.87951807228916,81.11888111888112,180.21971797943115,mean,ridge
2025-03-30 16:18:41.317677,resnet152,0.01,50,377,12,74.28571428571429,84.28571428571429,90.0,80.0,77.14285714285715,83.07692307692307,235.37998509407043,mean,ridge
2025-03-30 16:21:58.494913,resnet50,0.01,50,289,12,56.42857142857143,77.14285714285715,86.66666666666667,70.0,68.42105263157895,76.47058823529413,163.75707840919495,mean,ridge
2025-03-30 16:26:39.417923,resnext50,0.01,50,445,12,77.85714285714286,84.28571428571429,88.33333333333333,81.25,77.94117647058823,82.81250000000001,178.05873012542725,mean,ridge
2025-03-30 16:27:11.053644,resnet152,0.01,50,289,12,75.0,86.42857142857143,81.66666666666667,90.0,85.96491228070175,83.76068376068376,234.97613048553467,mean,ridge
2025-03-30 16:32:02.509445,resnet50,0.01,50,445,12,59.285714285714285,72.85714285714285,85.0,63.74999999999999,63.74999999999999,72.85714285714286,159.07213973999023,mean,ridge
2025-03-30 16:36:46.934185,resnet152,0.01,50,445,12,68.57142857142857,83.57142857142857,86.66666666666667,81.25,77.61194029850746,81.88976377952756,232.34317898750305,mean,ridge
2025-03-30 20:58:42.083663,resnext50,0.01,50,498,12,77.85714285714286,89.28571428571429,88.33333333333333,90.0,86.88524590163934,87.60330578512396,176.06142711639404,mean,ridge
2025-03-30 21:03:45.498765,resnet50,0.01,50,498,12,58.57142857142858,73.57142857142858,90.0,61.25000000000001,63.52941176470588,74.48275862068967,157.8397650718689,mean,ridge
2025-03-30 21:08:30.217113,resnet152,0.01,50,498,12,72.14285714285714,83.57142857142857,91.66666666666666,77.5,75.34246575342466,82.70676691729322,231.12434816360474,mean,ridge
2025-03-30 23:03:12.992739,resnext50,0.01,50,789,12,75.71428571428571,82.85714285714286,93.33333333333333,75.0,73.68421052631578,82.35294117647058,175.02379536628723,mean,ridge
2025-03-30 23:07:31.013866,resnext50,0.01,50,999,12,59.285714285714285,80.71428571428572,75.0,85.0,78.94736842105263,76.92307692307692,178.68429017066956,mean,ridge
2025-03-30 23:08:14.529628,resnet50,0.01,50,789,12,75.71428571428571,85.0,90.0,81.25,78.26086956521739,83.72093023255815,156.79413294792175,mean,ridge
2025-03-30 23:12:41.785895,resnet50,0.01,50,999,12,67.85714285714286,82.85714285714286,71.66666666666667,91.25,86.0,78.18181818181817,159.2149682044983,mean,ridge
2025-03-30 23:12:56.869409,resnet152,0.01,50,789,12,62.857142857142854,77.85714285714286,91.66666666666666,67.5,67.90123456790124,78.01418439716312,229.98530864715576,mean,ridge
2025-03-30 23:17:32.383580,resnet152,0.01,50,999,12,70.0,85.71428571428571,88.33333333333333,83.75,80.3030303030303,84.12698412698413,233.36795568466187,mean,ridge
2025-03-30 23:38:01.819295,resnext50,0.01,50,578,12,77.85714285714286,85.71428571428571,81.66666666666667,88.75,84.48275862068965,83.05084745762711,173.4585313796997,mean,ridge
2025-03-30 23:43:10.248709,resnet50,0.01,50,578,12,62.142857142857146,79.28571428571428,83.33333333333334,76.25,72.46376811594203,77.51937984496125,154.15369582176208,mean,ridge
2025-03-30 23:47:55.934747,resnet152,0.01,50,578,12,77.85714285714286,87.14285714285714,78.33333333333333,93.75,90.38461538461539,83.92857142857143,225.34929418563843,mean,ridge
2025-03-31 00:29:21.707926,resnext50,0.01,50,3407,12,64.28571428571429,71.42857142857143,91.66666666666666,56.25,61.111111111111114,73.33333333333334,185.81790280342102,mean,ridge
2025-03-31 00:34:48.444717,resnet50,0.01,50,3407,12,62.857142857142854,82.14285714285714,88.33333333333333,77.5,74.64788732394366,80.91603053435115,164.002445936203,mean,ridge
2025-03-31 00:39:52.013443,resnet152,0.01,50,3407,12,67.85714285714286,84.28571428571429,91.66666666666666,78.75,76.38888888888889,83.33333333333334,242.59767723083496,mean,ridge
